City,total_deals,total_amount
Inchenhofen,1,11000.0
Ingolstadt,3,19500.0
Iserlohn,2,20500.0
Isernhagen,2,15000.0
Itzehoe,2,22000.0
Jena,4,44500.0
Jindrichuv Hradec,1,4500.0
Jördenstorf,1,11500.0
Jünkerath,1,4500.0
Kaiserslautern,3,24500.0
Kalanchak,1,4000.0
Kaliningrad,1,2000.0
Kalkar,2,15000.0
Kaltenkirchen,1,4000.0
Kamen,1,11000.0
Kamenskoe,1,2000.0
Kappelrodeck,1,11000.0
Karben,1,4000.0
"Karl-Liebknecht str. 24, Hildburghausen, Thüringen",2,22000.0
Karlsfeld,2,11900.0
Karlsruhe,16,160000.0
Karstädt,1,2500.0
Kassel,8,73000.0
Kaufbeuren,1,4000.0
Kehl,3,20000.0
Kelkheim,1,11000.0
Kemnath,1,11000.0
Kempten,1,2500.0
Kernen im Remstal,1,11000.0
Kerpen,1,11000.0
Kharkiv,1,3500.0
Kiel,4,44000.0
Kirchheim,1,4000.0
Kirchheim bei München,1,11000.0
Kirchlauter,1,5000.0
Kirchlengern,1,11000.0
Kirchlinteln,1,5000.0
Kirn,1,4500.0
Kisslegg,1,11000.0
Kitzingen,1,11000.0
Klasztorna,1,2000.0
Kleinostheim,1,11000.0
Kleve,1,11000.0
Klosterlechfeld,1,3500.0
Kluse,1,11000.0
Koblenz,9,93000.0
Kobyłka,1,3500.0
Kolbermoor,1,11000.0
Konstanz,5,36000.0
Konz,1,11000.0
Korbach,1,11000.0
Kornwestheim,2,22000.0
Korschenbroich,2,22000.0
Kraichtal,2,22000.0
Krefeld,4,34000.0
Kressbronn am Bodensee,1,11000.0
Krumbach,1,9000.0
Kulmbach,1,11000.0
Kusel,1,11000.0
Köln,23,208700.0
Königslutter,1,11000.0
Königsmoos,1,5000.0
Königstein im Taunus,1,11000.0
Königswinter,1,9000.0
Ladenburg,1,11000.0
Lage,1,11500.0
Lahnstein,2,22000.0
Lampertheim,1,11000.0
Landau an der Isar,1,11000.0
Landau in der Pfalz,2,22000.0
Landsberg am Lech,1,11000.0
Landshut,3,20500.0
Langenbach,1,11000.0
Langenselbold,1,5000.0
Laubach,1,9000.0
Lauf,1,11000.0
Lauf an der Pegnitz,1,5000.0
Lauter-Bernsbach,1,4500.0
Leer,1,11000.0
Lehre,1,4000.0
Leichlingen,2,14500.0
Leinfelden-Echterdingen,2,22000.0
Leingarten,1,11000.0
Leipzig,44,415500.0
Lemgo,2,9000.0
Lengenfeld,1,11000.0
Lengerich,1,2500.0
Lennestadt,1,11000.0
Lenningen,1,11000.0
Leonberg,3,26000.0
Leopoldshöhe,1,11000.0
Leuna,1,11000.0
Leutershausen,1,4500.0
Leutkirch im Allgäu,1,11000.0
Leverkusen,1,2500.0
Lichtenfels,1,11000.0
Liederbach am Taunus,1,4000.0
Lierschied,1,11000.0
Limbach-Oberfrohna,1,5000.0
Limeshain,1,11000.0
Lindau (Bodensee),1,11000.0
Lingen,3,19000.0
Linz,1,4000.0
Lippstadt,2,6500.0
Litzendorf,1,4000.0
London,1,4000.0
Lotte,1,11000.0
Luckenwalde,2,22000.0
Ludwigsburg,6,58500.0
Lutherstadt Eisleben,1,2500.0
Lutherstadt Wittenberg,6,60000.0
Lychen,1,2500.0
Löbau,1,11000.0
Löningen,1,11000.0
Lörrach,1,2500.0
Lübeck,7,62000.0
Lüchow,1,11000.0
Lüneburg,1,4500.0
Lünen,2,20000.0
Maasbree,1,4000.0
Magdeburg,6,52500.0
Mahlberg,1,11000.0
Maikammer,1,0.0
Mainaschaff,1,11500.0
Mainbernheim,1,11500.0
Mainz,7,75000.0
Mainz-Kastel,1,11000.0
Mainz-Kostheim,1,11500.0
Malchin,1,11000.0
Malschwitz,1,3500.0
Manching,1,11000.0
Mandelbachtal,1,4000.0
Mannheim,10,104500.0
Markdorf,3,31500.0
Markgröningen,2,5000.0
